id,zipcode,score
2,8810,11
3,28129,4
4,79915,25
5,21085,10
6,62882,1
7,88008,4
8,80821,1
9,97370,8
10,92101,150
11,60407,1
12,48843,40
13,77336,6
14,72531,0
16,54490,1
17,13502,28
19,49277,1
20,97201,34
21,32129,14
22,1536,5
23,62084,1
24,16136,1
25,54727,4
26,77585,0
28,60951,0
29,75141,4
30,64783,0
31,48143,1
32,29835,3
33,41713,0
34,30423,0
35,84701,11
36,65632,1
37,12471,0
38,64079,11
39,42452,1
40,23460,1
41,49815,0
42,50312,17
43,77464,0
45,7718,4
46,58418,0
47,62037,2
48,8050,22
50,15759,1
52,68756,3
54,58272,0
55,39647,0
56,67950,3
57,44116,27
58,23398,0
59,27409,36
60,95385,0
61,97008,27
62,61516,0
63,53959,11
64,19734,4
65,30297,23
66,57445,3
67,93283,1
69,80104,34
70,56401,31
71,82301,10
72,61917,0
73,6785,0
74,34771,11
75,54210,2
76,95519,8
77,36445,1
78,65779,1
79,78840,26
80,13668,2
81,57454,1
83,97203,21
84,41773,0
85,10595,13
86,2839,1
87,18823,0
89,27964,1
91,30564,2
93,35972,0
94,43971,0
95,50206,0
97,13690,1
99,13733,3
100,19301,19
103,76041,0
104,92071,41
106,72434,1
107,1337,2
109,76642,4
110,68833,0
111,33414,74
112,42333,0
113,3235,5
114,5056,1
115,23169,1
116,12721,3
117,24219,7
118,80510,1
119,44256,58
120,29591,2
121,5857,1
123,78332,24
124,90066,54
125,52171,1
126,53020,3
128,35806,34
129,50056,1
130,5489,2
132,65466,2
133,87027,0
134,83014,9
135,74017,26
137,38044,0
138,12453,0
139,51632,7
140,36693,16
141,31793,8
142,10009,45
143,46740,1
144,41080,1
145,49220,2
146,75785,5
149,84104,47
150,15754,0
151,86434,0
152,15690,5
154,57052,0
155,10588,3
156,74429,8
159,95449,1
160,57258,0
161,43077,0
162,38544,2
164,57039,3
165,83327,1
166,35677,0
167,13102,0
168,93552,6
170,2771,20
171,71129,11
172,31061,28
173,29452,0
175,21224,53
176,61330,0
177,77039,15
178,49660,13
179,68822,9
180,44865,1
181,38079,2
182,29729,2
183,56045,1
184,96734,32
185,39746,1
